LOC,Year,Nitro,Weed,Code,EFFECT,EHT,FDS,FDT,PHT,RTA,GWT,MST,TWT,YIELD,PROT,SDL,STR,SDS,OIL,RLA
UIUC2020,2020,N1,WMINUS,CHECK,N1WMINUS,72.69676978,1.950898499,1.932820726,163.6007746,61.74778413,5.49358047,15.69433303,56.23057778,50.8753063,8.148124318,23.16499885,72.40166733,20.90136848,3.869196148,55.19011632
UIUC2020,2020,N1,WMINUS,ORG1,N1WMINUS,83.66186102,1.940053411,1.9138923,178.1475055,61.59799636,5.064547312,14.17373042,57.51077227,47.6129168,8.895721754,21.90326229,72.38853178,19.65814188,3.992456169,17.04594054
UIUC2020,2020,N1,WMINUS,ORG4,N1WMINUS,85.58075199,1.944331917,1.917721217,170.4195548,60.25310589,5.006750099,18.95627088,52.27769654,44.8305462,9.269520472,22.75921469,72.3943771,20.59904109,3.869196148,51.50734395
UIUC2020,2020,N1,WMINUS,UIUC1,N1WMINUS,72.69676978,1.945549601,1.923401424,170.1164979,61.67534507,5.887046113,19.20152936,53.01886177,52.50780029,8.097055439,23.5811454,72.40902681,20.43996703,3.71107465,17.8900724
UIUC2020,2020,N1,WMINUS,UIUC2,N1WMINUS,83.79892467,1.954306035,1.933046756,171.9348392,65.44251289,6.112013694,17.73972016,54.29878291,56.09909245,7.870997682,22.78606267,72.40862918,20.61078175,3.745936127,19.59928574
UIUC2020,2020,N1,WMINUS,UIUC3,N1WMINUS,80.23527001,1.953114608,1.929683903,176.935278,60.1303637,5.24460786,16.30747924,55.44449344,48.28512315,8.259669725,22.93748461,72.40665994,20.79961743,3.742449928,17.697165
UIUC2020,2020,N1,WMINUS,UIUC4,N1WMINUS,82.29122461,1.954450064,1.932176828,187.5422693,62.35576791,5.66697211,13.19269648,58.47653303,53.79079895,8.332157896,22.49373556,72.40305,20.63003235,3.783758782,19.19752552
UIUC2020,2020,N1,WMINUS,UIUC6,N1WMINUS,65.15826955,1.957736263,1.936180616,141.3260929,62.5645764,5.801051588,12.24413875,59.46080141,61.00275853,8.554147063,22.35526458,72.81773602,20.17296534,3.849026326,19.17195647
UIUC2020,2020,N1,WMINUS,UIUC7,N1WMINUS,77.76812448,1.929410332,1.902894325,177.6929202,63.13389351,4.531330297,15.53001304,55.7180655,42.3490626,8.038562625,21.96332752,72.40580503,19.81472364,3.779552496,18.04880101
UIUC2020,2020,N1,WMINUS,UIUC8,N1WMINUS,63.78763315,1.962969525,1.941407949,141.7806783,63.65349684,6.136018723,14.63972154,57.44339361,57.70440709,8.451030176,21.50820734,72.40009107,19.4013153,3.846785235,19.66596065
